Column1,Column2,Column3,Column4
-176.766,-209.596,14.301,32.922
-176.438,-210.495,14.4,32.989
-176.099,-211.396,14.47,33.056
-175.747,-212.295,14.513,33.123
-175.385,-213.192,14.539,33.19
-175.007,-214.085,14.556,33.257
-174.614,-214.972,14.583,33.324
-174.209,-215.857,14.629,33.391
-173.792,-216.742,14.7,33.458
-173.364,-217.627,14.79,33.525
-172.926,-218.515,14.896,33.592
-172.477,-219.407,15.017,33.659
-172.017,-220.303,15.148,33.726
-171.546,-221.203,15.288,33.793
-171.064,-222.108,15.436,33.86
-170.572,-223.019,15.59,33.927
-170.067,-223.936,15.746,33.994
-169.552,-224.858,15.896,34.061
-169.026,-225.784,16.033,34.128
-168.489,-226.714,16.153,34.195
-167.959,-227.656,16.25,34.262
-167.437,-228.609,16.332,34.329
-166.917,-229.569,16.4,34.396
-166.397,-230.533,16.459,34.463
-165.876,-231.502,16.52,34.53
-165.337,-232.464,16.582,34.597
-164.779,-233.422,16.661,34.664
-164.205,-234.378,16.755,34.731
-163.619,-235.335,16.86,34.798
-163.021,-236.292,16.974,34.865
-162.412,-237.252,17.097,34.932
-161.809,-238.226,17.226,34.999
-161.212,-239.214,17.366,35.066
-160.617,-240.215,17.513,35.133
-160.022,-241.228,17.662,35.2
-159.408,-242.24,17.808,35.267
-158.773,-243.251,17.962,35.334
-158.127,-244.268,18.119,35.401
-157.473,-245.291,18.27,35.468
-156.824,-246.328,18.406,35.535
-156.182,-247.381,18.532,35.602
-155.525,-248.432,18.64,35.669
-154.865,-249.49,18.742,35.736
-154.211,-250.559,18.834,35.803
-153.544,-251.627,18.921,35.87
-152.862,-252.692,19.01,35.937
-152.183,-253.767,19.107,36.004
-151.513,-254.855,19.206,36.071
-150.851,-255.955,19.289,36.138
-150.198,-257.065,19.331,36.205
-149.548,-258.177,19.317,36.272
-148.906,-259.289,19.237,36.339
-148.257,-260.387,19.1,36.406
-147.624,-261.481,18.921,36.473
-147.009,-262.571,18.72,36.54
-146.412,-263.656,18.519,36.607
-145.835,-264.737,18.34,36.674
-145.28,-265.819,18.201,36.741
-144.743,-266.903,18.104,36.808
-144.223,-267.989,18.044,36.875
-143.721,-269.082,18.014,36.942
-143.237,-270.181,18.012,37.009
-142.771,-271.289,18.033,37.076
-142.317,-272.405,18.076,37.143
-141.876,-273.529,18.137,37.21
-141.449,-274.664,18.211,37.277
-141.037,-275.81,18.298,37.344
-140.639,-276.968,18.395,37.411
-140.251,-278.136,18.505,37.478
-139.874,-279.316,18.621,37.545
-139.509,-280.508,18.744,37.612
-139.158,-281.713,18.871,37.679
-138.815,-282.93,19.006,37.746
-138.483,-284.158,19.144,37.813
-138.163,-285.4,19.277,37.88
-137.857,-286.653,19.383,37.947
-137.562,-287.913,19.435,38.014
-137.281,-289.175,19.402,38.081
-137.016,-290.435,19.28,38.148
-136.769,-291.686,19.082,38.215
-136.537,-292.923,18.83,38.282
-136.321,-294.146,18.549,38.349
-136.121,-295.352,18.267,38.416
