Column1,Column2,Column3
-180.1579587,-168.58347,14.14344526
-180.1450897,-169.6086926,14.09218828
-180.1322585,-170.6186736,14.04169321
-180.1187574,-171.668069,13.98922747
-180.105303,-172.7001494,13.9376273
-180.0918976,-173.714744,13.88690124
-180.0778422,-174.7636598,13.83445911
-180.0638465,-175.7928119,13.78300496
-180.0499133,-176.8020008,13.73254876
-180.0353536,-177.8399456,13.68065469
-180.0208692,-178.8554303,13.62988339
-180.005779,-179.8949302,13.57791122
-179.9907786,-180.9092614,13.52719721
-179.9751963,-181.9424996,13.47553767
-179.9597203,-182.9476356,13.42528293
-179.9436892,-183.9661838,13.37435734
-179.9271234,-184.9939109,13.32297251
-179.9100448,-186.0263312,13.27135267
-179.8924775,-187.0586966,13.21973517
-179.8744477,-188.0859876,13.16837091
-179.8559841,-189.1029025,13.11752489
-179.8371176,-190.1038475,13.06747674
-179.8172658,-191.1135657,13.01698913
-179.796494,-192.1199449,12.96666748
-179.7742805,-193.136211,12.91585015
-179.7507442,-194.140938,12.86560804
-179.7208716,-195.1491277,12.81518448
-179.6624605,-196.149726,12.76507739
-179.5737225,-197.1497191,12.86546966
-179.4566041,-198.1482091,12.96600318
-179.3129778,-199.1443377,13.06664615
-179.1446443,-200.1372855,13.16735769
-178.9533345,-201.1262705,13.26808955
-178.7407113,-202.1105474,13.3687876
-178.5083712,-203.0894063,13.4693931
-178.2578461,-204.062172,13.56984388
-177.9906052,-205.0282026,13.67007525
-177.7038859,-206.0006276,13.77145663
-177.4026942,-206.9652928,13.87251579
-177.0883552,-207.9216343,13.97318347
-176.7621364,-208.8691182,14.07339047
-176.4201081,-209.8212748,14.17456288
-176.0681369,-210.7637153,14.27516495
-175.7017876,-211.7101298,14.37664954
-175.3273169,-212.6460326,14.47745343
-174.9457875,-213.5710001,14.57750989
-174.5520647,-214.4989316,14.67831042
-174.146588,-215.4295724,14.77982414
-173.7362927,-216.3482949,14.8804419
-173.3154482,-217.2691537,14.98168868
-172.8912838,-218.1774742,15.08193645
-172.457704,-219.0873969,15.18273084
-172.0151091,-219.99869,15.28403953
-171.5711267,-220.8966305,15.38421027
-171.1191822,-221.7954524,15.48481517
-170.6596571,-222.6949344,15.58582166
-170.1929329,-223.5948553,15.68719667
-169.7270809,-224.4804752,15.78726368
-169.2549927,-225.3660953,15.88762255
-168.7770317,-226.2515051,15.9882405
-168.2935611,-227.1364939,16.08908439
-167.8049442,-228.0208512,16.19012073
-167.3115445,-228.9043663,16.2913157
-166.8137251,-229.7868285,16.39263518
-166.3118495,-230.6680274,16.49404478
-165.8062808,-231.5477523,16.59550982
-165.2973825,-232.4257925,16.69699539
-164.7855178,-233.3019375,16.79846635
-164.2710501,-234.1759766,16.89988733
-163.7543426,-235.0476993,17.00122276
-163.2357588,-235.9168948,17.1024369
-162.7156618,-236.7833527,17.20349382
-162.194415,-237.6468623,17.30435744
-161.6723817,-238.507213,17.40499153
-161.1499253,-239.3641941,17.50535972
-160.627409,-240.2175951,17.60542552
-160.0966399,-241.0811006,17.70678418
-159.5665658,-241.9404689,17.8077541
-159.037568,-242.7954789,17.90829666
-158.5100282,-243.6459094,18.00837314
-157.975866,-244.5051379,18.10954641
-157.4440031,-245.3591777,18.21015764
-156.91484,-246.2077967,18.31016603
-156.3804537,-247.0640965,18.41110255
-155.8496861,-247.9143194,18.51133195
-155.3147609,-248.7713568,18.61235957
-154.7844408,-249.6216201,18.71256871
-154.2511258,-250.4777712,18.81343593
-153.7155232,-251.3392078,18.91487277
-153.1862361,-252.1926224,19.01529494
-152.6560014,-253.0502853,19.09371467
-152.1256426,-253.9115209,19.05359464
-151.5960331,-254.7756219,19.01339332
-151.0754663,-255.6297207,18.97371759
-150.5572637,-256.4854766,18.93403437
-150.0353553,-257.3539184,18.89384435
-149.518201,-258.2220726,18.85376094
-149.0069482,-259.089058,18.81383677
-148.5028049,-259.953956,18.77412667
-148.0007051,-260.8269043,18.73418083
