Column1,Column2,Column3,Column4
-181.372,23.929,7.08,17.311
-181.371,23.455,7.132,17.378
-181.37,22.977,7.187,17.445
-181.37,22.495,7.245,17.512
-181.369,22.01,7.301,17.579
-181.368,21.521,7.356,17.646
-181.368,21.028,7.407,17.713
-181.367,20.532,7.455,17.78
-181.366,20.033,7.5,17.847
-181.365,19.532,7.544,17.914
-181.364,19.027,7.588,17.981
-181.363,18.519,7.633,18.048
-181.362,18.008,7.68,18.115
-181.361,17.494,7.73,18.182
-181.36,16.977,7.782,18.249
-181.36,16.456,7.835,18.316
-181.359,15.931,7.891,18.383
-181.357,15.403,7.947,18.45
-181.356,14.87,8.002,18.517
-181.355,14.335,8.057,18.584
-181.354,13.795,8.112,18.651
-181.352,13.252,8.164,18.718
-181.349,12.706,8.216,18.785
-181.349,12.156,8.268,18.852
-181.347,11.603,8.319,18.919
-181.343,11.046,8.377,18.986
-181.341,10.485,8.433,19.053
-181.34,9.92,8.488,19.12
-181.342,9.352,8.546,19.187
-181.343,8.78,8.6,19.254
-181.34,8.204,8.66,19.321
-181.34,7.625,8.715,19.388
-181.343,7.041,8.779,19.455
-181.345,6.454,8.835,19.522
-181.342,5.862,8.894,19.589
-181.342,5.267,8.952,19.656
-181.34,4.668,9.011,19.723
-181.34,4.064,9.077,19.79
-181.338,3.457,9.135,19.857
-181.33,2.845,9.203,19.924
-181.324,2.228,9.27,19.991
-181.324,1.608,9.326,20.058
-181.331,0.984,9.39,20.125
-181.334,0.355,9.456,20.192
-181.332,-0.278,9.511,20.259
-181.323,-0.914,9.574,20.326
-181.316,-1.555,9.641,20.393
-181.316,-2.2,9.697,20.46
-181.322,-2.849,9.763,20.527
-181.326,-3.503,9.834,20.594
-181.324,-4.161,9.893,20.661
-181.315,-4.824,9.963,20.728
-181.307,-5.491,10.036,20.795
-181.307,-6.163,10.098,20.862
-181.314,-6.839,10.168,20.929
-181.318,-7.52,10.243,20.996
-181.316,-8.205,10.305,21.063
-181.306,-8.895,10.375,21.13
-181.298,-9.59,10.449,21.197
-181.298,-10.289,10.511,21.264
-181.305,-10.993,10.582,21.331
-181.31,-11.701,10.658,21.398
-181.309,-12.415,10.721,21.465
-181.298,-13.132,10.794,21.532
-181.29,-13.855,10.872,21.599
-181.289,-14.583,10.937,21.666
-181.296,-15.315,11.014,21.733
-181.303,-16.053,11.094,21.8
-181.302,-16.795,11.162,21.867
-181.291,-17.542,11.24,21.934
-181.283,-18.295,11.321,22.001
-181.282,-19.053,11.389,22.068
-181.29,-19.815,11.468,22.135
-181.297,-20.583,11.552,22.202
-181.296,-21.356,11.621,22.269
-181.286,-22.135,11.702,22.336
-181.277,-22.918,11.775,22.403
-181.275,-23.706,11.859,22.47
-181.27,-24.5,11.935,22.537
-181.259,-25.299,12.021,22.604
-181.249,-26.104,12.099,22.671
-181.247,-26.914,12.186,22.738
-181.242,-27.73,12.265,22.805
-181.23,-28.551,12.354,22.872
-181.22,-29.378,12.433,22.939
-181.217,-30.211,12.522,23.006
-181.212,-31.049,12.602,23.073
-181.2,-31.892,12.69,23.14
-181.19,-32.742,12.781,23.207
-181.189,-33.598,12.86,23.274
-181.198,-34.459,12.948,23.341
-181.206,-35.326,13.039,23.408
-181.207,-36.198,13.116,23.475
-181.197,-37.076,13.205,23.542
-181.188,-37.961,13.298,23.609
-181.187,-38.851,13.378,23.676
-181.196,-39.746,13.47,23.743
-181.204,-40.648,13.566,23.81
-181.205,-41.556,13.651,23.877
-181.194,-42.47,13.747,23.944
-181.184,-43.39,13.835,24.011
-181.179,-44.317,13.933,24.078
-181.172,-45.249,14.024,24.145
-181.158,-46.189,14.124,24.212
-181.146,-47.135,14.226,24.279
-181.143,-48.087,14.316,24.346
-181.151,-49.045,14.416,24.413
-181.159,-50.011,14.518,24.48
-181.16,-50.982,14.607,24.547
-181.15,-51.96,14.705,24.614
-181.139,-52.944,14.795,24.681
-181.134,-53.935,14.894,24.748
-181.128,-54.931,14.987,24.815
-181.114,-55.935,15.091,24.882
-181.101,-56.945,15.189,24.949
-181.095,-57.962,15.297,25.016
-181.088,-58.986,15.399,25.083
-181.073,-60.017,15.511,25.15
-181.06,-61.056,15.615,25.217
-181.053,-62.101,15.727,25.284
-181.046,-63.154,15.831,25.351
-181.032,-64.214,15.943,25.418
-181.02,-65.282,16.053,25.485
-181.016,-66.356,16.152,25.552
